Acronym,Name,What is it used for,Advantages,Disadvantages
config_context,config_context,"We will ignore this one for the course, but it controls validation for finiteness, working memory, etc",,
dbscan,Density-based spatial clustering of applications with noise (DBSCAN) is a data clustering algorithm,"Density-based spatial clustering of applications with noise (DBSCAN) is a data clustering algorithm. given a set of points in some space, it groups together points that are closely packed together (points with many nearby neighbors), marking as outliers points that lie alone in low-density regions (whose nearest neighbors are too far away). DBSCAN is one of the most common clustering algorithms and also most cited in scientific literature.","does not require one to specify the number of clusters in the data a priori. Can find arbitrarily-shaped clusters such as the famous cinimmon roll pattern. It can even find a cluster completely surrounded by (but not connected to) a different cluster.
can find arbitrarily-shaped clusters. It can even find a cluster completely surrounded by (but not connected to) a different cluster, lilke the famous cinimmon roll dataset.
has a notion of noise, and is robust to outliers.
requires just two parameters and is mostly insensitive to the ordering of the points in the database.","scklearnex must only use ‘euclidean’ or ‘minkowski’ with p != 2.
Generally:
not entirely deterministic: border points that are reachable from more than one cluster can be part of either cluster
quality depends on the distance measure used in the function regionQuery(P,ε)
cannot cluster data sets well with large differences in densities, since the minPts-ε combination cannot then be chosen appropriately for all cluster
choosing a meaningful distance threshold ε can be difficult"
distances,Distances,"AKA Pairwise Distnace: Part of the sklearn.metrics.pairwise_distances library. Compute the distance matrix from a vector array X and optional Y. oneAPI focus is on cosine distance and also correlation metrics only. This method takes either a vector array or a distance matrix, and returns a distance matrix. If the input is a vector array, the distances are computed. If the input is a distances matrix, it is returned instead. X required, y is optional. Pairwise methods evaluate all pairs of sequences and transform the differences into
a distance. from Intel, currently, metric = ‘cosine’ or ‘correlation’","Used to find similarity of vectors - such as similar documents, similar gene expressions in genetics, could be used for similarity of time series, etc","Intel Extensions for scikit-learn:
With metric = ‘cosine’ or ‘correlation’.  Only dense data is supported.
not entirely deterministic: border points that are reachable from more than one cluster can be part of either cluster
focus is on cosine distance and also correlation metrics on. Only dense data is supported."
elasticnet,ElasticNet,"Linear regression with combined L1 and L2 priors as regularizer. Attempts to combine to advantages of both ridge regression and LASSO, namely shrinkage and sparsity together. ","The elastic net method performs variable selection and regularization simultaneously.
The elastic net technique is most appropriate where the dimensional data is greater than the number of samples used.
Groupings and variables selection are the key roles of the elastic net technique.
Its flexible and can handle wide variety","Intel sklearnex: All parameters except sample_weight != None.
Multi-output and sparse data is not supported, #observations should be >= #features.
computational cost. You need to cross-validate the relative weight of L1 vs. L2 penalty, α, and that increases the computational cost by the number of values in the α grid.
Its flexible and with greater flexibility comes increased probability of overfitting"
fin_check,aka assert_all_finite,Throw a ValueError if X contains NaN or infinity.,Can be very valuable when doing data cleaning or preprocessing of data. All parameters are supported.,Only dense data is supported
get_config,get_config,"Retrieve current values for configuration set by set_config. We will ignore this one for the course, but it controls validation for finiteness, working memory, etc",,
kmeans,K-Means clustering.,"KMeans algorithm clusters data by trying to separate samples in n groups of equal variance, minimizing a criterion known as the inertia or within-cluster sum-of-squares. This algorithm requires the number of clusters to be specified. It scales well to large number of samples and has been used across a large range of application areas in many different fields.","Relatively simple to implement. Scales to large data sets. Guarantees convergence. Can warm-start the positions of centroids. Easily adapts to new examples. Generalizes to clusters of different shapes and sizes, such as elliptical clusters.","intel sklearnex: All parameters except precompute_distances and sample_weight != None

Choosing k manually. Workaround is to use interia method or the “Loss vs. Clusters” plot to find the optimal (k), as discussed in Interpret Results. Being dependent on initial values. For a low k, you can mitigate this dependence by running k-means several times with different initial values and picking the best result. As k increases, you need advanced versions of k-means to pick better values of the initial centroids (called k-means seeding). For a full discussion of k- means seeding. k-means has trouble clustering data where clusters are of varying sizes and density. Centroids can be dragged by outliers, or outliers might get their own cluster instead of being ignored. Consider removing or clipping outliers before clustering. Scaling with number of dimensions. As the number of dimensions increases, a distance-based similarity measure converges to a constant value between any given examples. Reduce dimensionality either by using PCA on the feature data, or by using “spectral clustering” to modify the clustering algorithm as explained below."
kneighborsclassifier,K Nearest Neighbors Classifier  ,Classifier: Find the K-neighbors of a point. Returns indices of and distances to the neighbors of each point.,"K-NN is pretty intuitive and simple: 
K-NN algorithm is very simple to understand and equally easy to implement. To classify the new data point K-NN algorithm reads through whole dataset to find out K nearest neighbors.    
K-NN has no assumptions: 
K-NN is a non-parametric algorithm which means there are assumptions to be met to implement K-NN. 
Parametric models like linear regression has lots of assumptions to be met by data before it can be implemented which is not the case with K-NN.    
No Training Step: K-NN does not explicitly build any model, it simply tags the new data entry based learning from historical data. New data entry would be tagged with majority class in the nearest neighbor.    
It constantly evolves: Given it’s an instance-based learning; k-NN is a memory-based approach. 
The classifier immediately adapts as we collect new training data. 
It allows the algorithm to respond quickly to changes in the input during real-time use.    
Very easy to implement for multi-class problem: Most of the classifier algorithms are easy to implement for binary problems and needs effort to implement for multi class whereas K-NN adjust to multi class without any extra efforts.    
Can be used both for Classification and Regression: One of the biggest advantages of K-NN is that K-NN can be used both for classification and regression problems.    
One Hyper Parameter: K-NN might take some time while selecting the first hyper parameter but after that rest of the parameters are aligned to it.    Variety of distance criteria to be choose from: K-NN algorithm gives user the flexibility to choose distance while building K-NN model.
        Euclidean Distance
        Hamming Distance
        Manhattan Distance
        Minkowski Distance","Intel sklearex:  ‘euclidean’ or ‘minkowski’ with p != 2. Multi-output and sparse data is not supported.
Geneally:
K-NN slow algorithm: K-NN might be very easy to implement but as dataset grows efficiency or speed of algorithm declines very fast.    
Curse of Dimensionality: KNN works well with small number of input variables but as the numbers of variables grow K-NN algorithm struggles to predict the output of new data point.    
K-NN needs homogeneous features: If you decide to build k-NN using a common distance, like Euclidean or Manhattan distances, it is completely necessary that features have the same scale, since absolute differences in features weight the same, i.e., a given distance in feature 1 must means the same for feature 2.    
Optimal number of neighbors: One of the biggest issues with K-NN is to choose the optimal number of neighbors to be consider while classifying the new data entry.   
Imbalanced data causes problems: k-NN doesn’t perform well on imbalanced data. If we consider two classes, A and B, and the majority of the training data is labeled as A, then the model will ultimately give a lot of preference to A. This might result in getting the less common class B wrongly classified.    
Outlier sensitivity: K-NN algorithm is very sensitive to outliers as it simply chose the neighbors based on distance criteria.    
Missing Value treatment: K-NN inherently has no capability of dealing with missing value problem.
"
kneighborsregressor,K Nearest Neighbors Regressor  ,Regressor: Find the K-neighbors of a point. Returns indices of and distances to the neighbors of each point.,"K-NN is pretty intuitive and simple: 
K-NN algorithm is very simple to understand and equally easy to implement. To classify the new data point K-NN algorithm reads through whole dataset to find out K nearest neighbors.    
K-NN has no assumptions: 
K-NN is a non-parametric algorithm which means there are assumptions to be met to implement K-NN. 
Parametric models like linear regression has lots of assumptions to be met by data before it can be implemented which is not the case with K-NN.    
No Training Step: K-NN does not explicitly build any model, it simply tags the new data entry based learning from historical data. New data entry would be tagged with majority class in the nearest neighbor.    
It constantly evolves: Given it’s an instance-based learning; k-NN is a memory-based approach. 
The classifier immediately adapts as we collect new training data. 
It allows the algorithm to respond quickly to changes in the input during real-time use.    
Very easy to implement for multi-class problem: Most of the classifier algorithms are easy to implement for binary problems and needs effort to implement for multi class whereas K-NN adjust to multi class without any extra efforts.    
Can be used both for Classification and Regression: One of the biggest advantages of K-NN is that K-NN can be used both for classification and regression problems.    
One Hyper Parameter: K-NN might take some time while selecting the first hyper parameter but after that rest of the parameters are aligned to it.    Variety of distance criteria to be choose from: K-NN algorithm gives user the flexibility to choose distance while building K-NN model.
        Euclidean Distance
        Hamming Distance
        Manhattan Distance
        Minkowski Distance","Intel sklearex:  ‘euclidean’ or ‘minkowski’ with p != 2. Multi-output and sparse data is not supported.
Geneally:
K-NN slow algorithm: K-NN might be very easy to implement but as dataset grows efficiency or speed of algorithm declines very fast.    
Curse of Dimensionality: KNN works well with small number of input variables but as the numbers of variables grow K-NN algorithm struggles to predict the output of new data point.    
K-NN needs homogeneous features: If you decide to build k-NN using a common distance, like Euclidean or Manhattan distances, it is completely necessary that features have the same scale, since absolute differences in features weight the same, i.e., a given distance in feature 1 must means the same for feature 2.    
Optimal number of neighbors: One of the biggest issues with K-NN is to choose the optimal number of neighbors to be consider while classifying the new data entry.   
Imbalanced data causes problems: k-NN doesn’t perform well on imbalanced data. If we consider two classes, A and B, and the majority of the training data is labeled as A, then the model will ultimately give a lot of preference to A. This might result in getting the less common class B wrongly classified.    
Outlier sensitivity: K-NN algorithm is very sensitive to outliers as it simply chose the neighbors based on distance criteria.    
Missing Value treatment: K-NN inherently has no capability of dealing with missing value problem.
"
knn_classifier,k nearest neighbors classifier aka KNN classifier,"Classifier implementing the k-nearest neighbors vote. Neighbors-based classification is a type of instance-based learning or non-generalizing learning: it does not attempt to construct a general internal model, but simply stores instances of the training data. Classification is computed from a simple majority vote of the nearest neighbors of each point: a query point is assigned the data class which has the most representatives within the nearest neighbors of the point.

scikit-learn implements two different nearest neighbors classifiers: KNeighborsClassifier implements learning based on the
nearest neighbors of each query point, where is an integer value specified by the user. The optimal choice of the value is highly data-dependent: in general a larger suppresses the effects of noise, but makes the classification boundaries less distinct.","Advantages of KNN
No Training Period: KNN is called Lazy Learner (Instance based learning). It does not learn anything in the training period. It does not derive any discriminative function from the training data. In other words, there is no training period for it. It stores the training dataset and learns from it only at the time of making real time predictions. This makes the KNN algorithm much faster than other algorithms that require training e.g. SVM, Linear Regression etc.
Since the KNN algorithm requires no training before making predictions, new data can be added seamlessly which will not impact the accuracy of the algorithm.
KNN is very easy to implement. There are only two parameters required to implement KNN i.e. the value of K and the distance function (e.g. Euclidean or Manhattan etc.)
","optimal choice of the value is highly data-dependent. 1. Does not work well with large dataset: In large datasets, the cost of calculating the distance between the new point and each existing points is huge which degrades the performance of the algorithm.
2. Does not work well with high dimensions: The KNN algorithm doesn't work well with high dimensional data because with large number of dimensions, it becomes difficult for the algorithm to calculate the distance in each dimension.
3. Need feature scaling: We need to do feature scaling (standardization and normalization) before applying KNN algorithm to any dataset. If we don't do so, KNN may generate wrong predictions.
4. Sensitive to noisy data, missing values and outliers: KNN is sensitive to noise in the dataset. We need to manually impute missing values and remove outliers."
